year,equity_return_nominal,bond_return_nominal,cpi_inflation
1871,0.261900,0.045144,0.014000
1872,0.063100,0.016216,0.047000
1873,0.049700,0.043956,0.031000
1874,0.031700,0.028533,-0.033000
1875,0.075300,0.057299,-0.019000
1876,0.068400,0.033289,-0.003000
1877,0.088700,0.044548,-0.007000
1878,0.005200,0.022981,-0.022000
1879,0.156500,0.063576,-0.044000
1880,0.138100,0.044929,0.030000
1881,0.166800,0.035724,-0.011000
1882,0.015600,0.045677,0.010000
1883,0.003100,0.026658,-0.005000
1884,0.034000,0.018209,-0.027000
1885,0.029600,0.036948,-0.030000
1886,0.026500,0.035000,-0.016000
1887,0.031700,0.041791,-0.005000
1888,0.136100,0.008850,0.007000
1889,0.092200,0.038027,0.014000
1890,0.042200,0.011831,0.002000
1891,-0.004100,0.025105,0.007000
1892,0.004300,0.051181,0.004000
1893,-0.000900,0.035302,-0.007000
1894,0.107500,0.079669,-0.020000
1895,0.123200,0.061212,-0.010000
1896,0.122100,0.068541,-0.003000
1897,0.068300,0.038202,0.015000
1898,0.052400,0.002772,0.003000
1899,0.046700,-0.063456,0.007000
1900,0.094600,-0.004351,0.051000
1901,0.049100,-0.016046,0.005000
1902,0.058900,0.019486,0.000000
1903,0.016700,-0.027631,0.004000
1904,0.111200,0.041458,-0.002000
1905,0.109400,0.035830,0.004000
1906,0.096300,-0.010846,0.000000
1907,-0.001600,0.000132,0.012000
1908,0.045682,0.035945,0.005000
1909,0.110602,0.018180,0.005000
1910,0.014817,-0.013062,0.009000
1911,0.016036,0.002250,0.001000
1912,0.034422,0.007547,0.030000
1913,-0.037963,-0.013174,-0.004000
1914,-0.000640,0.044682,-0.003000
1915,0.026000,0.034000,0.125000
1916,-0.024708,-0.202986,0.181000
1917,0.095101,0.030637,0.252000
1918,0.207742,0.127967,0.220000
1919,0.095556,-0.084263,0.101000
1920,-0.213397,-0.073387,0.154000
1921,-0.007442,0.164649,-0.086000
1922,0.262400,0.159672,-0.140000
1923,0.009125,0.042221,-0.060000
1924,0.201717,0.073520,-0.007000
1925,0.151236,0.003139,0.003000
1926,0.065915,0.028755,-0.008000
1927,0.085782,0.071688,-0.024000
1928,0.164685,0.059311,-0.003000
1929,-0.142338,-0.015965,-0.009000
1930,-0.048602,0.131428,-0.028000
1931,-0.201314,-0.005443,-0.043000
1932,0.342286,0.403182,-0.026000
1933,0.244091,0.031661,-0.021000
1934,0.140471,0.276968,0.000000
1935,0.139908,-0.031190,0.007000
1936,0.191972,0.002684,0.007000
1937,-0.130434,-0.092034,0.034000
1938,-0.097899,-0.021813,0.016000
1939,0.018271,0.009540,0.028000
1940,-0.048895,0.159367,0.168000
1941,0.227333,0.105643,0.108000
1942,0.184370,0.027593,0.071000
1943,0.110400,-0.004982,0.034000
1944,0.124500,0.057250,0.027000
1945,0.064615,0.148149,0.028000
1946,0.177313,0.107610,0.031000
1947,-0.025769,-0.143347,0.070000
1948,-0.036759,0.006970,0.077000
1949,-0.057006,-0.089347,0.028000
1950,0.109574,0.040642,0.039185
1951,0.082295,-0.096837,0.090498
1952,-0.001412,-0.006850,0.106501
1953,0.244306,0.138610,0.036250
1954,0.486165,0.060638,0.022919
1955,0.108628,-0.101183,0.050708
1956,-0.091641,-0.029814,0.051627
1957,-0.009477,-0.063057,0.038420
1958,0.477424,0.170271,0.028777
1959,0.548623,0.009832,0.005994
1960,0.018391,-0.071032,0.007944
1961,0.018128,-0.079440,0.032512
1962,0.003790,0.247768,0.041985
1963,0.198082,0.036340,0.021062
1964,-0.054100,-0.023652,0.032287
1965,0.111743,0.043927,0.042572
1966,-0.038407,0.042149,0.040000
1967,0.341902,0.023494,0.022436
1968,0.481952,-0.023348,0.039969
1969,-0.118731,-0.002488,0.051997
1970,-0.034857,0.034527,0.065186
1971,0.466016,0.269080,0.094149
1972,0.163745,-0.041294,0.071911
1973,-0.280009,-0.087871,0.093463
1974,-0.501952,-0.157680,0.157315
1975,1.496069,0.361257,0.227005
1976,0.023265,0.138826,0.156573
1977,0.485602,0.455556,0.149425
1978,0.086659,-0.025752,0.074722
