year,equity_return_nominal,bond_return_nominal,cpi_inflation
1979,0.114814,0.041836,0.113724
1980,0.348331,0.191252,0.151543
1981,0.136274,0.099868,0.118098
1982,0.284920,0.535222,0.081110
1983,0.287792,0.078283,0.049350
1984,0.315741,0.037561,0.042580
1985,0.201366,0.199184,0.049223
1986,0.272176,0.125390,0.033261
1987,0.086509,0.178991,0.032049
1988,0.114840,0.068684,0.037592
1989,0.354682,0.082100,0.052376
1990,-0.096108,0.082109,0.069727
1991,0.208054,0.184824,0.075326
1992,0.198887,0.200163,0.042615
1993,0.275481,0.227906,0.025065
1994,-0.059496,-0.104130,0.019785
1995,0.230210,0.175601,0.026565
1996,0.158099,0.077644,0.024003
1997,0.235671,0.167595,0.018246
1998,0.136740,0.211694,0.015574
1999,0.237990,-0.041475,0.013287
2000,-0.059403,0.097945,0.007965
2001,-0.132198,0.029549,0.012335
2002,-0.222603,0.102087,0.012589
2003,0.201757,0.021114,0.013616
2004,0.125950,0.066381,0.013435
2005,0.216436,0.085014,0.020569
2006,0.164316,-0.005020,0.023287
2007,0.050815,0.062061,0.023228
2008,-0.297511,0.159729,0.036019
2009,0.289520,-0.015164,0.021653
2010,0.141579,0.101185,0.032982
2011,-0.034273,0.184079,0.044637
2012,0.121456,0.038486,0.028282
2013,0.205382,-0.061271,0.025648
2014,0.011954,0.155964,0.014610
2015,0.010999,0.007676,0.000401
2016,0.154100,0.071265,0.006597
2017,0.140700,0.037439,0.027000
2018,-0.095500,0.022330,0.025000
2019,0.183800,0.057202,0.018000
2020,-0.094400,0.057524,0.009000
